# Measured ADSR timing data from real Juno-106 factory preset recordings.
# Format: Preset, Stage (A/D/R), Raw slider (0-1), Measured ms, Confidence, Notes
#
# Confidence: high = clean exponential fit or unambiguous measurement
#             medium = some VCF interaction possible but shape is clear
#             low = VCF envelope strongly affects perceived timing
#
# VCF confound: the Juno-106 shares one ADSR for both VCA and VCF.
# During decay/release, VCF closing makes sound die faster than VCA alone.
# Decay measurements from patches with sustain~0 are most reliable.
# Release measurements may be compressed by VCF closure.
#
Preset,Stage,Raw,Measured_ms,Confidence,Notes
B66 Toy Rhodes,D,0.700787,262,low,R²≈1 zero VCF; BUT overlapping notes may have truncated measurement — 262ms likely wrong (true decay at D=0.70 should be ~1500-3000ms)
B33 Lute,A,0.000000,22,high,10-90% single note; slider=0
B33 Lute,D,0.377953,311,low,single-exp summary of two-phase decay (67ms+355ms); VCF confound pulls tau down vs A76 D=0.370→622ms
A76 Dark Synth Piano,A,0.000000,22,medium,10-90% rise; slider=0 but VCF/chorus may inflate
A76 Dark Synth Piano,D,0.370079,622,high,tau fit sustain=0; clean exponential
A14 Flutes,A,0.181102,150,medium,user visual estimate ~0.15s; automated 10-90% gave 30ms but likely too narrow a window
A14 Flutes,D,0.637795,1310,high,early/late segments agree within 3%; sustain=0 no VCF confound; gold-standard measurement
A14 Flutes,R,0.141732,67,high,stage 1 tau=67ms clean fit RMS 0.003; stage 2 (20ms) is chorus BBD bleed-through
B12 Violin,A,0.338583,236,high,10-90% near-linear ramp; no VCF confound
B12 Violin,D,0.354331,565,medium,tau to sustain=0.52; cross-validates B82 Piccolo Trumpet D=0.346→565ms
B12 Violin,R,0.204724,183,low,file truncates 137ms into release; estimate ±30ms
A15 Moving Strings,A,0.102362,100,medium,user visual ~0.1s; percussive notes; VCF may contribute
A61 Piano II,D,0.771654,550,low,user visual: total audible decay 1.5-2s (tau≈550ms); likely VCF-compressed — lower than Flutes D=0.638→1310ms
A61 Piano II,R,0.251969,100,medium,user visual: release tail ~0.3s (tau≈100ms); consistent with A18 Piano I R=0.236→105ms
A31 Clock Chimes,R,0.401575,1000,low,user visual: tail still audible at 1.9s when recording ends; tau≈1000ms est; lower bound
A66 Timpani,R,0.559055,800,low,user visual: tail still audible at 1.4s when recording ends; tau≈800ms est; lower bound
B22 Nylon Guitar,D,0.700787,134,low,median of 9 notes 117-160ms; BUT massively non-monotonic with Flutes D=0.638→1310ms — VCF or sysex corruption
A62 Clav.,A,0.000000,10,medium,midpoint of 5-15; slider=0 hardware minimum
A62 Clav.,D,0.307087,15,low,transient spike collapse not true envelope decay; midpoint of 10-20
A62 Clav.,R,0.110236,12,low,midpoint of 0-25; very fast plucked string release
